RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,10,Esmeralda,Los Andes,Lo Camus ,San Esteban,19,2401,,,,,,,,,,,,07.00,21.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,1,Esmeralda,Los Andes,Av. Alessandri,Los Andes,2,,,,,,,801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,2,Esmeralda,Los Andes,La Puntilla,San Esteban,5,,,,,,,1201,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,3,Esmeralda,Los Andes,Paidahuen,San Esteban,6,,,,,,,1901,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,4,Esmeralda,Los Andes,San Miguel,San Esteban,8,,,,,,,2501,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,5,Esmeralda,Los Andes,El Carrizo,San Esteban,11,,,,,,,3001,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,6,Esmeralda,Los Andes,La Florida,San Esteban,7,,,,,,,1801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,7,Esmeralda,Los Andes,Reyes,San Esteban,8,,,,,,,1201,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,8,Esmeralda,Los Andes,Plaza San Esteban,San Esteban,6,,,,,,,701,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,9,Esmeralda,Los Andes,San Francisco,San Esteban,12,,,,,,,2501,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
