DATOS EMPRESA,,,TRAMOS A COBRAR,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA ADULTO MAYOR,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS. Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,3,AV. VICTORIA,LIMACHE,QUEBRADA ALVARADO,OLMUÉ,35,700,280,350,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,4,AV. VICTORIA,LIMACHE,CUESTA LA DORMIDA,OLMUÉ,42,800,320,400,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,5,AV. VICTORIA,LIMACHE,CAMARICO,OLMUÉ,45,1000,400,500,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,6,6,AV. VICTORIA,LIMACHE,"LA LOMA , ISLA, LA VEGA",OLMUÉ,55,1300,52,650,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,7,1,PELUMPEN,OLMUÉ,EASTMAN P10,OLMUÉ,12,350,140,175,,,,,,,,,,06.30,22.30,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,7,2,PELUMPEN,OLMUÉ,TRONCAL NORTE,LIMACHE ,22,500,200,250,,,,,,,,,,06.30,22.30,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,7,3,PELUMPEN,OLMUÉ,AV. CONDELL,QUILLOTA,400,800,320,400,,,,,,,,,,06.30,22.30,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,8,1,AV. VICTORIA,LIMACHE,PALMIRA ROMANO NORTE,LIMACHE,12,350,140,175,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,8,2,AV. VICTORIA,LIMACHE,AV. CONDELL,QUILLOTA,30,600,240,300,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,9,1,AV.URMENETA,LIMACHE,EASTMAN P.10,LIMACHE,8,350,140,175,,,,,,,,,,06.30,23.00,3482,26/11/19
